Frame_Idx,Timestamp,Unix_Time,Quality_Flag,Breath_Rate_BPM,App_State,Distances_Being_Analyzed,Presence_Detected,Presence_Distance_m,Intra_Presence_Score,Inter_Presence_Score,Presence_Distance_Index,Radar_Enter_Time
15,8.956618309020996,1770674570.9566183,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.1033329874413258,19.370167944548076,1,8.30415153503418
16,9.008265018463135,1770674571.008265,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0972322514136754,20.340414049923563,1,8.30415153503418
17,9.049760818481445,1770674571.0497608,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.086291949149228,21.217612918115353,1,8.30415153503418
18,9.101547956466675,1770674571.101548,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0739590595673083,22.039606841601678,1,8.30415153503418
19,9.153236389160156,1770674571.1532364,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0688994506659708,22.79552480482465,1,8.30415153503418
20,9.226515769958496,1770674571.2265158,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0660219448445627,23.50847464949624,1,8.30415153503418
21,9.25841212272644,1770674571.2584121,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0648053790239498,24.168685177811767,1,8.30415153503418
22,9.300353765487671,1770674571.3003538,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0606243009729837,24.793169215468374,1,8.30415153503418
23,9.35239315032959,1770674571.3523932,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0527897323369384,25.400987350540593,1,8.30415153503418
24,9.404250621795654,1770674571.4042506,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0494089222807554,26.026352921120118,1,8.30415153503418
25,9.455979347229004,1770674571.4559793,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0464561396112144,26.65127939052607,1,8.30415153503418
26,9.507811546325684,1770674571.5078115,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0504389412272992,27.252682954824895,1,8.30415153503418
27,9.560216665267944,1770674571.5602167,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0523667809990187,27.778667930045234,1,8.30415153503418
28,9.601991176605225,1770674571.6019912,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0468038498052856,28.146731200770954,1,8.30415153503418
29,9.653721570968628,1770674571.6537216,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0592595291248657,28.410371480064665,1,8.30415153503418
30,9.705458164215088,1770674571.7054582,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.0996638071827676,28.653360861064726,1,8.30415153503418
31,9.757014513015747,1770674571.7570145,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.1836408321065763,28.979472817857584,1,8.30415153503418
32,9.808696269989014,1770674571.8086963,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.3131602396045623,29.461578761795156,1,8.30415153503418
33,9.850200414657593,1770674571.8502004,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.4566996034927864,30.128545925096258,1,8.30415153503418
