Unix_Sec,Belt_BPM_step,Radar_BPM_mean,Quality_Flag,t_rel_from_enter,Radar_Rolling_Std
1765494855,20.53,19.080100627890694,breathing,36,2.974987098253071
1765494856,20.53,18.899964897004644,breathing,37,2.2873154750702955
1765494857,20.53,18.803810370083312,breathing,38,0.8941113618150046
1765494858,20.53,18.821494224990175,breathing,39,0.3109569070950221
1765494859,20.53,18.893713923020435,breathing,40,0.315173751338518
1765494860,19.66,19.008283325125298,breathing,41,0.30718988474893405
1765494861,19.66,19.149413157860593,breathing,42,0.27171816702171026
1765494862,19.66,19.268281246761575,breathing,43,0.2285804541794032
1765494863,19.66,19.379954717405372,breathing,44,0.20834245337070345
1765494864,19.66,19.522751409223417,breathing,45,0.24530183931908867
1765494865,19.66,19.602858840320785,breathing,46,0.29527905704834045
1765494866,19.66,19.737610736774577,breathing,47,0.33703816135044856
1765494867,19.66,20.027689883352267,breathing,48,0.38795886872623553
1765494868,19.66,20.276682741307656,breathing,49,0.4406901507996719
1765494869,19.66,20.57306961584686,breathing,50,0.5049018143059079
1765494870,20.19,20.75044959651049,breathing,51,0.5551548120837493
1765494871,20.19,20.747073169492175,breathing,52,0.5676399194863646
1765494872,20.19,20.550560644058844,breathing,53,0.5304446881133316
1765494873,20.19,20.17285610279622,breathing,54,0.46302926939570516
1765494874,20.19,19.68107273390071,breathing,55,0.43955710657751945
1765494875,20.19,19.30819967013033,breathing,56,0.4917100834681351
1765494876,20.19,19.525809809090823,breathing,57,0.516919299915982
1765494877,20.19,20.09203932551871,breathing,58,0.5154690835779272
1765494878,20.19,20.679633544835802,breathing,59,0.5400896647581137
1765494879,20.19,21.17290617348164,breathing,60,0.6134572015268956
1765494880,20.53,21.491922572265352,breathing,61,0.7146972307192835
1765494881,20.53,21.92995832820541,breathing,62,0.8701369134549853
1765494882,20.53,22.903872236037984,breathing,63,1.1653522593312675
1765494883,20.53,7.511283802735885,breathing,64,4.34293236447815
1765494884,20.53,5.1332731185419025,breathing,65,6.261961545237668
1765494885,20.53,14.909580805469096,breathing,66,6.3121847009292695
1765494886,20.53,14.068715196991935,breathing,67,6.35668681218969
1765494887,20.53,13.434218765998065,breathing,68,6.344257292406753
1765494888,20.53,12.418297064037484,breathing,69,6.251193220507545
1765494889,20.53,11.640461922735769,breathing,70,6.011790778606049
1765494890,21.01,11.373422619577882,breathing,71,5.545953371400951
1765494891,21.01,11.154032984081272,breathing,72,4.718074016350218
1765494892,21.01,11.202246070443863,breathing,73,2.963350351069492
1765494893,21.01,11.373324984348805,breathing,74,2.652290199774021
1765494894,21.01,11.70997319016352,breathing,75,1.3436818867209352
1765494895,21.01,12.150381613149024,breathing,76,0.9920438093521555
1765494896,21.01,12.346070155641517,breathing,77,0.713496323734861
1765494897,21.01,12.421080393916624,breathing,78,0.5117195822235917
1765494898,21.01,12.202297275377564,breathing,79,0.4856262857855133
1765494899,21.01,11.472751925364381,breathing,80,0.49295138129856214
1765494900,21.07,8.41115993087857,breathing,81,1.1671243572908336
1765494901,21.07,8.575511028397965,breathing,82,1.4810129914574963
1765494902,21.07,8.644470020339583,breathing,83,1.6848322668720825
1765494903,21.07,8.667990414686585,breathing,84,1.8178131943550164
1765494904,21.07,8.836093237342109,breathing,85,1.8600850013136467
1765494905,21.07,9.070054931783359,breathing,86,1.7866055171212916
1765494906,21.07,15.601208411431251,breathing,87,2.4293575857312595
1765494907,21.07,21.03202365384053,breathing,88,4.147610316869442
1765494908,21.07,20.6032938425562,breathing,89,5.10251374260692
1765494909,21.07,20.101312364915067,breathing,90,5.682826191085809
1765494910,21.04,19.727403632556083,breathing,91,5.8030588576520366
1765494911,21.04,19.417305426383837,breathing,92,5.670427101588472
1765494912,21.04,19.385953473123433,breathing,93,5.3023577966387885
1765494913,21.04,19.29068280569043,breathing,94,4.638385397573965
1765494914,21.04,19.215998917266287,breathing,95,3.5707925403715497
1765494915,21.04,19.122828321025434,breathing,96,1.4620835681524715
1765494916,21.04,19.09395462630193,breathing,97,0.6693925944171928
1765494917,21.04,18.98910449779853,breathing,98,0.5101998549207853
1765494918,21.04,18.633115399784863,breathing,99,0.40390491167735393
1765494919,21.04,18.38114013034222,breathing,100,0.38971063163447117
1765494920,20.3,18.381782214559742,breathing,101,0.391194356807839
1765494921,20.3,18.664717090144823,breathing,102,0.372030966633907
1765494922,20.3,19.22751453425442,breathing,103,0.35265898139720503
1765494923,20.3,20.09536495856222,breathing,104,0.5088869396419669
1765494924,20.3,20.757227719577067,breathing,105,0.7596999248913101
1765494925,20.3,21.132409577281244,breathing,106,0.9877728822324373
1765494926,20.3,21.335179827538358,breathing,107,1.1651765295555627
1765494927,20.3,21.412576900940092,breathing,108,1.2797008927197568
1765494928,20.3,21.41672192044609,breathing,109,1.2997574993050338
1765494929,20.3,21.392858292253532,breathing,110,1.2079349520978173
1765494930,20.36,21.398538506056916,breathing,111,1.0141531513729694
1765494931,20.36,21.489199728561196,breathing,112,0.747850621042885
1765494932,20.36,21.682871525321477,breathing,113,0.46228932177937526
1765494933,20.36,21.860867725233412,breathing,114,0.2959632086368537
1765494934,20.36,22.015664240308052,breathing,115,0.2638307855323884
1765494935,20.36,22.133666334385662,breathing,116,0.2915870157533626
1765494936,20.36,22.22373444925436,breathing,117,0.3300873658495197
1765494937,20.36,22.2549581851389,breathing,118,0.35442076311170456
1765494938,20.36,22.240154712083243,breathing,119,0.35451331879737463
1765494939,20.36,22.224398232048703,breathing,120,0.32679424396991125
