t_rel_enter_s,belt_bpm_ffill,radar_bpm_1hz,radar_valid_1hz,Peak_To_Noise,PSD_Peak_Ratio_1_2,Bandpower_6_30_BPM,Motion_RMS,Sweep_Energy_STD,phase_1hz
24.0,22.01,21.268800487747697,True,17.656689700165504,1.2488360188104903,1460.6716681127032,3.3412947110229476,18703.045786034396,eval
25.0,22.01,21.298574673556438,True,26.342293038633116,1.2197405983075993,1464.1787703577575,3.452485999635318,30345.19425906655,eval
26.0,22.01,21.392336050371792,True,11.30948732749249,1.1788949616232003,1525.6837188552286,3.8283297488776706,12058.054125046016,eval
27.0,21.63,21.457773963435017,True,13.284450758600837,1.140544533737542,1620.1142240253362,3.794519900378658,9721.857201162517,eval
28.0,21.63,21.581365860118304,True,16.084917688669442,1.1105838770880667,1713.9961311948812,3.809738611235825,13127.430384074254,eval
29.0,21.63,21.767341905911444,True,15.241554393809668,1.0674003041364846,1763.094279634619,3.546182795622782,15922.80741308543,eval
30.0,21.63,7.935201235559832,True,14.781531816095033,1.0320312175096773,1756.64524517979,3.5315246979347386,13328.850132776162,eval
31.0,21.63,7.955269300778852,True,24.809129806907922,1.0262198982280302,1683.8282453403547,3.5449948689546176,25010.96643158926,eval
32.0,21.63,7.999082762504855,True,11.15198768893707,1.0211819470828263,1568.622357500606,3.533272158042615,8086.289562937314,eval
33.0,21.63,8.25168482435549,True,23.206511884943858,1.00691656511242,1419.2752886106387,3.382815982871515,20207.18284331222,eval
34.0,21.63,8.633928780513518,True,23.44866706026975,1.053627303667528,1263.0101660073906,3.3554421066102345,26499.93504464726,eval
35.0,21.63,9.200940446720516,True,27.60968844897149,1.1629104737036542,1151.2378370624388,3.4496026776723707,33819.24918054689,eval
36.0,21.63,9.538946549983386,True,21.224614200877646,1.235051686720681,1112.6987592492364,3.7215261978320404,20675.541159689183,eval
37.0,21.46,9.859970041715297,True,22.230696890175125,1.1854923207682093,1106.812169018842,3.5079216217309837,20801.507109878534,eval
38.0,21.46,9.73645833442975,True,41.099759835051024,1.0887888571671065,1151.3760208033764,3.4812216302841184,60217.165358867416,eval
39.0,21.46,20.892824110415077,True,23.08665009103792,1.170417566668199,1226.096179154777,3.4983994186827583,23985.809649193452,eval
40.0,21.46,20.840412407715586,True,39.79581352632805,1.1766108373222774,1329.828201913239,3.4206365616050425,68575.15683059924,eval
41.0,21.46,20.670442627801577,True,18.790514044048052,1.1198040849668824,1461.4449461226563,3.0404621064621016,20634.332466340682,eval
42.0,21.46,20.601235334889992,True,13.427614360729002,1.109155894658283,1601.0670664867757,3.149859975213726,15023.581167332715,eval
43.0,21.46,20.49107683207338,True,14.503968041099569,1.1005466663704198,1682.0029333823854,3.548447147904347,12767.26951011402,eval
44.0,21.46,20.200054129461712,True,14.805608712992445,1.047264701713659,1706.9543393782333,3.7282801843753584,15115.499003395253,eval
45.0,21.46,19.80617938708332,True,38.92596133760573,1.0225483642124251,1689.3805572844863,3.8145547562078574,58025.936633906924,eval
46.0,21.46,19.51319988770777,True,11.124882017963218,1.0844653952787926,1671.0110131455117,3.8116075542520464,11221.97905094086,eval
47.0,20.94,19.262950540052955,True,24.792820450687643,1.1448051675447117,1729.428829567631,3.8328957548268106,29193.466608947692,eval
48.0,20.94,19.071308751169525,True,25.004772112614706,1.1853908369066457,1882.9178327697591,3.9520205628988228,37356.85770869247,eval
